organism_code,common_5perc,species_name,indiv_n_all,indiv_prop_all,rank_prop_all,rank_no,indiv_n_D28A-L,indiv_n_D4-L,indiv_n_D7-C,indiv_prop_D28A-L,indiv_prop_D4-L,indiv_prop_D7-C
5030,0,Heptagenia sp. A,25.64,2.2385891708386807e-6,0.3132530120481928,172,0,25.64,0,0,2.2385891708386807e-6,0
5150,0,Zoniagrion exclamationis,25.64,2.2385891708386807e-6,0.3092369477911647,173,12.82,12.82,0,1.1192945854193404e-6,1.1192945854193404e-6,0
5750,0,Paratendipes sp. A,25.64,2.2385891708386807e-6,0.30522088353413657,174,0,25.64,0,0,2.2385891708386807e-6,0
6010,0,Palpomyia sp. A,25.64,2.2385891708386807e-6,0.30120481927710846,175,19.23,6.41,0,1.6789418781290105e-6,5.596472927096702e-7,0
3390,0,Glycinde armigera,24.049999999999997,2.099768703536282e-6,0.2971887550200803,176,0,0,24.049999999999997,0,0,2.099768703536282e-6
4940,0,Eriocheir sinensis,24.049999999999997,2.099768703536282e-6,0.2931726907630522,177,0,24.049999999999997,0,0,2.099768703536282e-6,0
2170,0,Nais simplex,24.04,2.0988956188362666e-6,0.2891566265060241,178,0,24.04,0,0,2.0988956188362666e-6,0
4040,0,Cyclocypris sp. A,24.04,2.0988956188362666e-6,0.285140562248996,179,24.04,0,0,2.0988956188362666e-6,0,0
5511,0,Paratanytarsus sp. B,24.04,2.0988956188362666e-6,0.28112449799196787,180,0,24.04,0,0,2.0988956188362666e-6,0
4070,0,Eusarsiella zostericola,20.84,1.8195085148314394e-6,0.27710843373493976,181,0,0,20.84,0,0,1.8195085148314394e-6
5070,0,Hexagenia limbata californica,20.84,1.8195085148314394e-6,0.27309236947791166,182,16.03,4.81,0,1.399554774124183e-6,4.199537407072564e-7,0
3310,0,Harmothoe imbricata,19.24,1.6798149628290255e-6,0.26907630522088355,183,0,4.81,14.43,0,4.199537407072564e-7,1.2598612221217692e-6
3091,0,Pseudopolydora paucibranchiata,19.23,1.6789418781290105e-6,0.26506024096385544,184,0,19.23,0,0,1.6789418781290105e-6,0
3105,0,Spiophanes duplex,19.23,1.6789418781290105e-6,0.26104417670682734,185,0,19.23,0,0,1.6789418781290105e-6,0
4580,0,Monocorophium uenoi,19.23,1.6789418781290105e-6,0.2570281124497992,186,0,19.23,0,0,1.6789418781290105e-6,0
4715,0,Stenothoe valida,19.23,1.6789418781290105e-6,0.25301204819277107,187,0,19.23,0,0,1.6789418781290105e-6,0
6004,0,Ceratopogon sp. A,19.23,1.6789418781290105e-6,0.24899598393574296,188,19.23,0,0,1.6789418781290105e-6,0,0
5190,0,Corisella inscripta,17.63,1.5392483261265967e-6,0.24497991967871485,189,4.81,0,12.82,4.199537407072564e-7,0,1.1192945854193404e-6
1150,0,Nemertea sp. A,14.43,1.2598612221217692e-6,0.24096385542168675,190,4.81,9.62,0,4.199537407072564e-7,8.399074814145128e-7,0
2581,0,Monopylephorus sp. A,14.43,1.2598612221217692e-6,0.23694779116465864,191,0,0,14.43,0,0,1.2598612221217692e-6
3080,0,Dipolydora socialis,14.43,1.2598612221217692e-6,0.23293172690763053,192,0,4.81,9.62,0,4.199537407072564e-7,8.399074814145128e-7
4109,0,Neomysis kadiakensis,14.43,1.2598612221217692e-6,0.2289156626506024,193,0,0,14.43,0,0,1.2598612221217692e-6
4111,0,Neomysis japonica,14.43,1.2598612221217692e-6,0.2248995983935743,194,0,4.81,9.62,0,4.199537407072564e-7,8.399074814145128e-7
5110,0,Caenis latipennis,14.43,1.2598612221217692e-6,0.22088353413654618,195,14.43,0,0,1.2598612221217692e-6,0,0
5242,0,Oecetis sp. B,14.43,1.2598612221217692e-6,0.21686746987951808,196,14.43,0,0,1.2598612221217692e-6,0,0
5575,0,Cryptotendipes sp. A,14.43,1.2598612221217692e-6,0.21285140562248997,197,14.43,0,0,1.2598612221217692e-6,0,0
6500,0,Philine auriformis,14.43,1.2598612221217692e-6,0.20883534136546184,198,0,4.81,9.62,0,4.199537407072564e-7,8.399074814145128e-7
1200,0,nematode sp.,14.42,1.258988137421754e-6,0.20481927710843373,199,14.42,0,0,1.258988137421754e-6,0,0
5500,0,Nimbocera sp. A,12.82,1.1192945854193404e-6,0.20080321285140562,200,12.82,0,0,1.1192945854193404e-6,0,0
2310,0,Vejdovskyella comata,11.219999999999999,9.796010334169265e-7,0.19678714859437751,201,11.219999999999999,0,0,9.796010334169265e-7,0,0
5950,0,Nanocladius distinctus,11.219999999999999,9.796010334169265e-7,0.1927710843373494,202,4.81,6.41,0,4.199537407072564e-7,5.596472927096702e-7,0
1092,0,turbellarian sp. C,9.62,8.399074814145128e-7,0.18875502008032127,203,9.62,0,0,8.399074814145128e-7,0,0
1151,0,Nemertea sp. B,9.62,8.399074814145128e-7,0.18473895582329317,204,0,0,9.62,0,0,8.399074814145128e-7
2655,0,Tectidrilus diversus,9.62,8.399074814145128e-7,0.18072289156626506,205,0,0,9.62,0,0,8.399074814145128e-7
3240,0,Phyllodoce groenlandica,9.62,8.399074814145128e-7,0.17670682730923695,206,0,0,9.62,0,0,8.399074814145128e-7
3300,0,Megasyllis nipponica,9.62,8.399074814145128e-7,0.17269076305220885,207,0,9.62,0,0,8.399074814145128e-7,0
3999,0,Cyclopid sp. A,9.62,8.399074814145128e-7,0.1686746987951807,208,9.62,0,0,8.399074814145128e-7,0,0
4101,0,Orientomysis aspera,9.62,8.399074814145128e-7,0.1646586345381526,209,0,0,9.62,0,0,8.399074814145128e-7
4105,0,Alienacanthomysis macropsis,9.62,8.399074814145128e-7,0.1606425702811245,210,0,0,9.62,0,0,8.399074814145128e-7
4860,0,Exopalaemon modestus,9.62,8.399074814145128e-7,0.1566265060240964,211,4.81,4.81,0,4.199537407072564e-7,4.199537407072564e-7,0
4910,0,Pacifastacus leniusculus,9.62,8.399074814145128e-7,0.15261044176706828,212,4.81,4.81,0,4.199537407072564e-7,4.199537407072564e-7,0
5525,0,Tanytarsus sp. B,9.62,8.399074814145128e-7,0.14859437751004015,213,4.81,4.81,0,4.199537407072564e-7,4.199537407072564e-7,0
5910,0,Cricotopus sp. A,9.62,8.399074814145128e-7,0.14457831325301204,214,9.62,0,0,8.399074814145128e-7,0,0
5911,0,Cricotopus sp. B,9.62,8.399074814145128e-7,0.14056224899598393,215,0,9.62,0,0,8.399074814145128e-7,0
6910,0,Anodonta sp. A,9.62,8.399074814145128e-7,0.13654618473895583,216,4.81,4.81,0,4.199537407072564e-7,4.199537407072564e-7,0
7000,0,Molgula manhattensis,9.62,8.399074814145128e-7,0.13253012048192772,217,0,0,9.62,0,0,8.399074814145128e-7
2120,0,Nais elinguis,6.41,5.596472927096702e-7,0.1285140562248996,218,0,6.41,0,0,5.596472927096702e-7,0
2830,0,megascolecid sp. A,6.41,5.596472927096702e-7,0.12449799196787148,219,0,6.41,0,0,5.596472927096702e-7,0
4010,0,Eucypris sp. A,6.41,5.596472927096702e-7,0.12048192771084337,220,0,6.41,0,0,5.596472927096702e-7,0
4390,0,Sphaeroma quoianum,6.41,5.596472927096702e-7,0.11646586345381527,221,0,0,6.41,0,0,5.596472927096702e-7
5241,0,Oecetis sp. A,6.41,5.596472927096702e-7,0.11244979919678715,222,6.41,0,0,5.596472927096702e-7,0,0
5850,0,Stictochironomus sp. A,6.41,5.596472927096702e-7,0.10843373493975904,223,6.41,0,0,5.596472927096702e-7,0,0
5860,0,Xenochironomus xenolabis,6.41,5.596472927096702e-7,0.10441767068273092,224,6.41,0,0,5.596472927096702e-7,0,0
6850,0,Gemma gemma,6.41,5.596472927096702e-7,0.10040160642570281,225,0,0,6.41,0,0,5.596472927096702e-7
2000,0,Gordius sp. A,4.81,4.199537407072564e-7,0.0963855421686747,226,4.81,0,0,4.199537407072564e-7,0,0
2075,0,Dero lodeni,4.81,4.199537407072564e-7,0.09236947791164658,227,4.81,0,0,4.199537407072564e-7,0,0
2652,0,Varichaetadrilus harmani,4.81,4.199537407072564e-7,0.08835341365461848,228,4.81,0,0,4.199537407072564e-7,0,0
2727,0,Tubificoides wasselli,4.81,4.199537407072564e-7,0.08433734939759036,229,0,0,4.81,0,0,4.199537407072564e-7
2805,0,Eiseniella tetraedra,4.81,4.199537407072564e-7,0.08032128514056225,230,0,4.81,0,0,4.199537407072564e-7,0
3280,0,Exogone lourei,4.81,4.199537407072564e-7,0.07630522088353414,231,0,0,4.81,0,0,4.199537407072564e-7
4720,0,Americhelidium shoemakeri,4.81,4.199537407072564e-7,0.07228915662650602,232,0,0,4.81,0,0,4.199537407072564e-7
4835,0,Caprella mendax,4.81,4.199537407072564e-7,0.06827309236947791,233,4.81,0,0,4.199537407072564e-7,0,0
4930,0,Upogebia pugettensis,4.81,4.199537407072564e-7,0.0642570281124498,234,0,0,4.81,0,0,4.199537407072564e-7
5234,0,Hydroptila sp. B,4.81,4.199537407072564e-7,0.060240963855421686,235,0,4.81,0,0,4.199537407072564e-7,0
5245,0,Tinodes belisa,4.81,4.199537407072564e-7,0.05622489959839357,236,4.81,0,0,4.199537407072564e-7,0,0
5330,0,Chaoborus albatus,4.81,4.199537407072564e-7,0.05220883534136546,237,4.81,0,0,4.199537407072564e-7,0,0
5631,0,Endochironomus sp. B,4.81,4.199537407072564e-7,0.04819277108433735,238,4.81,0,0,4.199537407072564e-7,0,0
5692,0,Parachironomus sp. B,4.81,4.199537407072564e-7,0.04417670682730924,239,0,4.81,0,0,4.199537407072564e-7,0
5792,0,Polypedilum sp. C,4.81,4.199537407072564e-7,0.040160642570281124,240,4.81,0,0,4.199537407072564e-7,0,0
5945,0,Limnophyes sp. A,4.81,4.199537407072564e-7,0.03614457831325301,241,0,4.81,0,0,4.199537407072564e-7,0
5997,0,Thienemanniella sp. A,4.81,4.199537407072564e-7,0.0321285140562249,242,4.81,0,0,4.199537407072564e-7,0,0
6000,0,Bezzia sp. A,4.81,4.199537407072564e-7,0.028112449799196786,243,4.81,0,0,4.199537407072564e-7,0,0
6025,0,Limonia sp. A,4.81,4.199537407072564e-7,0.024096385542168676,244,0,4.81,0,0,4.199537407072564e-7,0
6229,0,Lebertia sp. A,4.81,4.199537407072564e-7,0.020080321285140562,245,0,4.81,0,0,4.199537407072564e-7,0
6265,0,Sperchon sp. A,4.81,4.199537407072564e-7,0.01606425702811245,246,4.81,0,0,4.199537407072564e-7,0,0
6295,0,Arrenurus sp. A,4.81,4.199537407072564e-7,0.012048192771084338,247,4.81,0,0,4.199537407072564e-7,0,0
6860,0,Cooperella subdiaphana,4.81,4.199537407072564e-7,0.008032128514056224,248,0,0,4.81,0,0,4.199537407072564e-7
7500,0,Phoronopsis harmeri,4.81,4.199537407072564e-7,0.004016064257028112,249,0,0,4.81,0,0,4.199537407072564e-7
