order,assigned,citation?,prop_d28,prop_d4,prop_d7,prop,native,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
22,Nick,1,0.244493392,0.196467991,NA,0.149264706,1,2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
131,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,,,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
24,Nick,1,0.286343612,0.19205298,NA,0.161764706,1,2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
26,Nick,1,NA,0.264900662,NA,0.101470588,1,2610,Psammoryctides californianus,species,Psammoryctides barbatus,species,congener,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
28,Nick,1,0.555066079,0.216335541,NA,0.257352941,1,2630,Quistadrilus multisetosus,species,Aulodrilus japonicus,species,confamiliar,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
30,Nick,1,0.550660793,NA,NA,0.184558824,1,2650,Embolocephalus nikolskyi,species,Tubifex tubifex,species,confamiliar,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
32,Nick,1,NA,NA,0.538631347,0.205147059,1,2720,Tubificoides heterochaetus,species,Tubifex tubifex,species,confamiliar,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
145,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Liu 2017,,,NA,NA,NA,feeding_position,1,Sb,categorical,deposit feeders,NA
34,Leela,1,0.444933921,NA,NA,0.167647059,1,2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,Magri et al 2018,NA,,Italy,,Mincio River,feeding_position,NA,Sb,categorical,,
36,Nick,1,0.290748899,NA,NA,0.101470588,1,2840,Altmanella freidris,species,Lumbriculus variegatus,species,confamiliar,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
38,Leela,1,0.211453744,NA,NA,0.071323529,1,2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,Moore 1978,NA,field,Canada,,Great Slave Lake,feeding_position,NA,Sb,categorical,,"70% algae found in gut, remainder detritus"
48,Leela,0,NA,NA,0.189845475,0.063235294,0,3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,Wolff 1973,NEMESIS,,The Netherlands,,"Rhine, Meuse, and Scheldt Rivers",feeding_position,NA,Sb,categorical,"can burrow up to 15 cm into sediment; Feeding is believed to be non-selective, on microalgae, detritus, and other organic particles",
54,Nick,1,0.136563877,NA,NA,0.074264706,1,4030,Isocypris sp. A,genus,Cyprideis torosa,species,same order,Frenzel et al 2012,NA,,Germany,,brackish lagoon in Baltic Sea,feeding_position,NA,Sb,categorical,"feeds on detritus, diatoms, bacteria; observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface",
56,Nick,1,0.31277533,NA,NA,0.116176471,1,4050,Candona sp. A,genus,Cyprideis torosa,species,same order,Frenzel et al 2012,NA,,Germany,,brackish lagoon in Baltic Sea,feeding_position,NA,Sb,categorical,"feeds on detritus, diatoms, bacteria; observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface",
193,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,,,Germany,NA,brackish lagoon in Baltic Sea,feeding_position,1,Sb,categorical,"feeds on detritus, diatoms, bacteria; observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface",NA
203,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,NEMESIS,,Japan,NA,Seto Inland Sea,feeding_position,1,Sb,categorical,live buried in sand and mud,NA
42,Leela,0,NA,NA,0.214128035,0.072058824,0,3090,Pseudopolydora kempi,species,Pseudopolydora cf. kempi,species,target,Hentschel 1998,NEMESIS,,United States,Washington,Skagit and False Bay,feeding_position,NA,Sf,categorical,"It is a deposit-feeder, using its palps to pick up particles from the sediment surface; Benthic microalgae, detritus, phytoplankton",
50,Nick,1,0.568281938,0.651214128,0.260485651,0.493382353,1,3330,Hediste limnicola,species,Neanthes lighti,species,synonym,Smith 1950,NA,,United States,California,Salinas River,feeding_position,NA,Sf,categorical,algal and diatomaceous scum and detritus from surface of bottom,
60,Nick,1,NA,0.150110375,NA,0.0625,0,4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,Heiman et al. 2008,NEMESIS,,United States,California,Elkhorn Slough,feeding_position,NA,Sf,categorical,can be epifaunal in fouling communities or in sand or mud,
68,Nick,1,NA,0.12803532,NA,0.063235294,0,4410,Uromunna sp. A,genus,Uromunna reynoldsi,species,congener,Frankenberg and Menzies 1966; Callahan 1977; Poore 1984,NEMESIS,,United States,Texas,Gulf of Mexico,feeding_position,NA,Sf,categorical,"likley foods are detritus, microalgae, bacteria",
87,Nick,1,0.129955947,NA,NA,0.054411765,1,6530,Gyraulus circumstriatus,species,Gyraulus circumstriatus,species,target,Hann et al 2001,NA,,Canada,Manitoba,Delta Marsh,feeding_position,NA,Sf,categorical,,
89,Nick,1,0.101321586,NA,NA,0.042647059,1,6565,Helisoma anceps,species,Helisoma anceps,species,target,Hung et al 2018,NA,,United States,California,San Francisco Estuary,feeding_position,NA,Sf,categorical,scraper/grazer of algae,
91,Nick,1,0.167400881,NA,NA,0.069852941,1,6570,Physa sp. A,genus,Physa,genus,congener,Arendt 2015,NA,,US,CA,Riverside,feeding_position,NA,Sf,categorical,probably an algae scraper,
93,Nick,1,0.59030837,0.289183223,NA,0.293382353,0,6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Miranda et al. 2012,NEMESIS,,South Africa,KwaZulu-Natal,multiple,feeding_position,NA,Sf,categorical,"grazes on microalgae and detritus, but does not feed on the leaves of larger plants",
41,Leela,0,NA,NA,0.214128035,0.072058824,0,3090,Pseudopolydora kempi,species,Pseudopolydora cf. kempi,species,target,Blake and Woodwick 1975,NEMESIS,,United States,California,,larva,NA,L,categorical,"spend a few days in the plankton, largely lecithotrophic",
43,Leela,1,NA,NA,0.158940397,0.054411765,0,3110,Streblospio benedicti,species,Streblospio benedicti,species,target,Nichols and Thompson 1985,NEMESIS,,United States,California,San Francisco Estuary,larva,NA,L,categorical,lecithotrophic on the west coast and usually settle within 7 d of release from brood pouch; capable of settling immediately after release,
177,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh et al 2010,,,Taiwan,NA,"Tanshui River estuarine system, located northwest of Taipei City",larva,1,L,categorical,unable to propel themselves through water; lecithotrophic and settle in 26-33 h after fertilization,NA
1,Leela,1,0.171806167,NA,NA,0.070588235,1,1010,Girardia tigrina,species,Giardia tigrina,species,target,Stocchino et al 2019,NA,,Italy,,,larva,NA,N,categorical,,"note of rare individuals exhibiting sexual reproduction, but majority of species exhibit fisiparous reproduction"
3,Leela,1,0.806167401,0.492273731,NA,0.445588235,1,1130,Prostoma graecense,species,Prostoma graecense,species,target,Tamburi and Cazzaniga 2006,NA,field,Argentina,Buenos Aires,Naposta Grande stream,larva,NA,N,categorical,no free-swimming larval stage,
5,Leela,1,0.321585903,0.169977925,NA,0.175,1,1230,Dorylaimus sp. A,genus,Dorylaimus stagnalis,species,congener,Shafqat et al 1991,NA,lab,India,,,larva,NA,N,categorical,,develop into juvenile in egg
7,Nick,1,0.202643172,NA,NA,0.072794118,1,2090,Dero trifida,species,Dero limosa,species,congener,Stephenson 1916,NA,,,,,larva,NA,N,categorical,,
9,Nick,1,0.13876652,NA,NA,0.053676471,1,2270,Slavina appendiculata,species,Slavina punjabensis,species,congener,Stephenson 1916,NA,,,,,larva,NA,N,categorical,members of the genus mostly reproduce by architomy,
11,Nick,1,0.707048458,0.185430464,NA,0.298529412,1,2410,Aulodrilus limnobius,species,Aulodrilus japonicus,species,congener,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,members of the genus mostly reproduce by architomy,
13,Nick,1,0.154185022,NA,NA,0.055882353,1,2430,Aulodrilus pigueti,species,Aulodrilus japonicus,species,congener,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,members of the genus mostly reproduce by architomy,
15,Nick,1,0.623348018,NA,NA,0.223529412,1,2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
110,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,,,Czech Republic,NA,Rokytna River,larva,1,N,categorical,NA,NA
17,Leela,1,0.328193833,NA,NA,0.127205882,0,2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,Casellato 1984,NA,lab,Italy,Padua,,larva,NA,N,categorical,,emerge from cocoons as worms
19,Nick,1,0.715859031,NA,NA,0.269852941,1,2510,Ilyodrilus frantzi,species,Ilyodrilus templetoni,species,congener,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
21,Nick,1,0.244493392,0.196467991,NA,0.149264706,1,2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
123,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,,,Estonia,NA,NA,larva,1,N,categorical,produces cocoons containing eggs that hatch into small worms,NA
23,Leela,1,0.286343612,0.19205298,NA,0.161764706,1,2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,Kennedy 1966,NA,,,,,larva,NA,N,categorical,,produce cocoons
25,Nick,1,NA,0.264900662,NA,0.101470588,1,2610,Psammoryctides californianus,species,Psammoryctides barbatus,species,congener,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
27,Nick,1,0.555066079,0.216335541,NA,0.257352941,1,2630,Quistadrilus multisetosus,species,Aulodrilus japonicus,species,confamiliar,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
29,Nick,1,0.550660793,NA,NA,0.184558824,1,2650,Embolocephalus nikolskyi,species,Tubifex tubifex,species,confamiliar,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
31,Nick,1,NA,NA,0.538631347,0.205147059,1,2720,Tubificoides heterochaetus,species,Tubifex tubifex,species,confamiliar,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
140,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Block et al 1981,,,United States,Indiana,Little Calumet River,larva,1,N,categorical,create cocoons of eggs and developing young worms.,NA
33,Leela,1,0.444933921,NA,NA,0.167647059,1,2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,Carrera-Martinez 2018,NA,,United States,Georgia,"Southern  Appalachian
Piedmont",larva,NA,N,categorical,,produce cocoons
35,Nick,1,0.290748899,NA,NA,0.101470588,1,2840,Altmanella freidris,species,Lumbriculus variegatus,species,confamiliar,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,,
37,Nick,1,0.211453744,NA,NA,0.071323529,1,2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,Timm 2020,NA,lab,Estonia,,,larva,NA,N,categorical,reproduces via architomy,
39,Nick,1,0.268722467,NA,NA,0.114705882,1,2970,Mooreobdella microstoma,species,Dina microstoma,species,synonym,Gee 1913,NA,field,United States,California,,larva,NA,N,categorical,"hermaphroditic, internal fertilization, lays eggs in cocoons that hatch into small leeches",
49,Nick,1,0.568281938,0.651214128,0.260485651,0.493382353,1,3330,Hediste limnicola,species,Nereis limnicola,species,synonym,Smith 1958,NA,,United States,California,Lake Merced,larva,NA,N,categorical,"internal fertilization, viviporous; newly hatched young immediately build protective tubes of sand and mucus",
168,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,,,United States,CA and OR,multiple rivers and creeks,larva,1,N,categorical,females brood offspring in tube; probably only disperses when forced by heavy currents,noted that offspring make tubes right next to mother's tube
53,Nick,1,0.136563877,NA,NA,0.074264706,1,4030,Isocypris sp. A,genus,Ostracoda,class,same class,Cohen and Morin 1990,NA,,,,,larva,NA,N,categorical,ostracods don't have larvae and juveniles resemble adults,
55,Nick,1,0.31277533,NA,NA,0.116176471,1,4050,Candona sp. A,genus,Ostracoda,class,same class,Cohen and Morin 1990,NA,,,,,larva,NA,N,categorical,ostracods don't have larvae and juveniles resemble adults,
188,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Heip 1976,,,Belgium,NA,brackish pond,larva,1,N,categorical,all life stages found in sediment so presumably no planktonic larvae,NA
198,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,,,Japan,NA,Seto Inland Sea,larva,1,N,categorical,offspring are raised in marsupium; manca larvae are nearly full grown and developed,NA
59,Nick,1,NA,0.150110375,NA,0.0625,0,4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,Toniollo and Masunari 2007,NEMESIS,,Brazil,Parana,Paranaguá Bay Complex,larva,NA,N,categorical,young are brooded in brood pouches,
61,Nick,1,NA,0.103752759,0.258278146,0.120588235,0,4310,Synidotea laticauda,species,Synidotea laticauda,species,target,Menzies and Miller 1972,NEMESIS,,United States,California,San Francisco Estuary,larva,NA,N,categorical,"young are brooded by the female, and development is direct ",
63,Nick,1,NA,0.231788079,NA,0.088235294,1,4350,Gnorimosphaeroma insulare,species,Gnorimosphaeroma insulare,species,target,Stanhope et al 1987,NA,,Canada,British Columbia,Squamish Estuary,larva,NA,N,categorical,brood pouch,
65,Nick,1,NA,0.14790287,NA,0.066911765,1,4370,Gnorimosphaeroma oregonense,species,Gnorimosphaeroma oregonense,species,target,Brook et al 1994,NA,,Canada,British Columbia,"Grappler Inlet, Bamfield",larva,NA,N,categorical,,
67,Nick,1,NA,0.12803532,NA,0.063235294,0,4410,Uromunna sp. A,genus,Uromunna reynoldsi,species,congener,Schultz 1979,NEMESIS,,Panama,,Panama Canal,larva,NA,N,categorical,Fertilization is internal and eggs are brooded by the female,
69,Nick,1,NA,NA,0.286975717,0.097794118,0,4510,Ampelisca abdita,species,Ampelisca abdita,species,target,Nichols and Thompson 1985,NEMESIS,,United States,California,San Francisco Estuary,larva,NA,N,categorical,"separate sexes, brooded embryos, and direct development",
213,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Chapman 1988,,,United States,California,San Francisco Bay,larva,1,N,categorical,no planktonic larvae mentioned,Nocturnal vertical migration of adults from the benthos into the water column is common among species of Corophium. Species of Corophium are also noted for dispersal over many kilometers in a single night. (this species might be passive? only info is that dispersed into SF bay with vertical migration and tidal movement)
223,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,NA,larva,1,N,categorical,no planktonic larvae,"young development stage resembles adults, brood stay on female for 4 weeks and the adults are tube dwellers"
232,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium volutator,species,confamiliar,Stevens et al 2006,,,New Zealand,NA,Waimapu Estuary,larva,1,N,categorical,assuming most amphipods have no larval stage. All sited papers were of this species.,NA
71,Nick,1,NA,0.229580574,0.474613687,0.234558824,0,4670,Grandidierella japonica,species,Grandidierella japonica,species,target,Greenstein and Tiefenthaler 1997,NEMESIS,,United States,California,Newport Bay,larva,NA,N,categorical,"separate sexes, brooded embryos, and direct development",
74,Nick,1,0.105726872,NA,NA,0.043382353,0,4740,Crangonyx floridanus,species,Crangonyx floridanus,species,target,Tojo et al 2010,NEMESIS,,Japan,,,larva,NA,N,categorical,"young are brooded, and development is direct ",
243,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Ginn et al 1976,,,Unites States,New York,Indian Point,larva,1,N,categorical,"females contain eggs and/or young in marsupium and release as young. Study done with G. daiberi and G.tigrinus, but they indicate samples were most likely mostly G. daiberi.",NA
76,Nick,1,0.295154185,0.119205298,NA,0.138970588,1,4810,Hyalella sp. A,genus,Hyalella azteca,species,congener,Strong 1972,NA,,United States,Oregon,multiple,larva,NA,N,categorical,offspring are raised in marsupium,
80,Nick,1,NA,0.121412804,NA,0.043382353,1,5130,Stylurus olivaceus,species,Stylurus olivaceus,species,target,Cannings 2003,NA,,Canada,British Columbia,,larva,NA,N,categorical,,
82,Nick,1,0.218061674,NA,NA,0.1,1,5410,Procladius sp. A,genus,Procladius bellus,species,congener,Sephton 2012,NA,,Canada,Ontario,"Laurel Creek Reservoir, Waterloo",larva,NA,N,categorical,,
84,Nick,1,0.140969163,NA,NA,0.058823529,1,5550,Cryptochironomus sp. A,genus,Cryptochironomus ,genus,congener,Curry 1958,NA,,United States,Michigan,multiple,larva,NA,N,categorical,,
86,Nick,1,0.129955947,NA,NA,0.054411765,1,6530,Gyraulus circumstriatus,species,Gyraulus convexiusculus,species,congener,Parashar and Rao 1988,NA,,India,,,larva,NA,N,categorical,,
88,Nick,1,0.101321586,NA,NA,0.042647059,1,6565,Helisoma anceps,species,Helisoma anceps,species,target,Hung et al 2018,NA,,United States,California,San Francisco Estuary,larva,NA,N,categorical,,
90,Nick,1,0.167400881,NA,NA,0.069852941,1,6570,Physa sp. A,genus,Physa,genus,congener,Arendt 2015,NA,,US,CA,Riverside,larva,NA,N,categorical,,
92,Nick,1,0.59030837,0.289183223,NA,0.293382353,0,6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Keller et al. 2007,NEMESIS,,NA,NA,NA,larva,NA,N,categorical,eggs in female's brood pouch and hatch into small snails (1.0-4.5 mm long),
94,Nick,1,0.414096916,NA,NA,0.143382353,1,6750,Euglesa casertana,species,Euglesa casertana,species,target,Mouthon and Forcellini 2017,NA,,NA,NA,NA,larva,NA,N,categorical,all species in family release from brood sac as fully formed miniature adults,
96,Nick,1,0.396475771,NA,NA,0.136764706,1,6770,Euglesa compressa,species,Euglesa compressa,species,target,Mouthon and Forcellini 2017,NA,,NA,NA,NA,larva,NA,N,categorical,all species in family release from brood sac as fully formed miniature adults,
153,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,NEMESIS,,Germany,NA,NA,larva,1,P,categorical,eggs are laid in tube and then hatch into ciliated swimming morula larvae; become planktotrophic larvae but time to settling unknown,NA
45,Nick,0,NA,0.637969095,0.649006623,0.429411765,0,3130,Marenzelleria neglecta,species,Marenzelleria viridis,genus,congener,Bochert et al 1996,NEMESIS,,,,Baltic Sea,larva,NA,P,categorical,planktonic larvaea were fed phytoplankton ,
47,Leela,0,NA,NA,0.189845475,0.063235294,0,3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,Lacalli 1980,NEMESIS,,,,,larva,NA,P,categorical,planktotrophic larvae; starting at 400 um long; settle after 17-18 days,couldn't locate original data source
51,Nick,1,NA,NA,0.377483444,0.131617647,0,3370,Alitta succinea,species,Nereis succinea,species,synonym,Hansen 1999,NEMESIS,,Denmark,,Knebel Vig,larva,NA,P,categorical,planktotrophic larvae; settle in 10-14 d at 20-24C,
57,Nick,1,NA,0.136865342,0.395143488,0.177205882,0,4150,Amphibalanus improvisus,species,Balanus improvisus,species,synonym,Lang and Marcy 1982,NEMESIS,,United States,Rhode Island,Pettaquamscutt River,larva,NA,P,categorical,planktotrophic larvae; settles after 4-18 d,
78,Nick,1,NA,0.163355408,NA,0.072058824,0,4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,Rice and Tsukimura 2007,NEMESIS,,NA,NA,NA,larva,NA,P,categorical,eggs are brooded but planktotrophic zoeae (1 mm long) drift in plankton and doubles in length; settle after 15-32 d,
261,Nick,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Ramli et al 2022,,,Malaysia,Kelantan,Pergau Lake,larva,1,P,categorical,"Embryos are brooded in the adult's gills, and are released at varying stages of development, sometimes as D-shaped non-swimming planktotrophic veligers, and sometimes as crawling postlarvae",NA
98,Nick,1,NA,NA,0.51214128,0.189705882,0,6810,Macoma petalum,species,Macoma balthica,species,congener,Bos et al. 2007,NEMESIS,,The Netherlands,NA,Mok Bay,larva,NA,P,categorical,"planktotrophic, likley feeding on phytoplankton, and settle in 16-19.5 d at 15C",
275,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,,,United States,California,San Francisco Bay,larva,1,P,categorical,planktonic larvae for about 17 d; from day 7 to day 17 veligers actively filtered phytoplankton,
111,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,,,Czech Republic,NA,Rokytna River,living_habit,1,B,categorical,NA,NA
124,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,,,England,NA,"multiple rivers, lakes, ponds, streams, canals",living_habit,1,B,categorical,NA,NA
141,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Liu 2017,,,NA,NA,NA,living_habit,1,B,categorical,"""sediment-dwelling"", may wave posterior body outside of sediment to obtain more oxygen.",NA
189,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,,,Germany,NA,brackish lagoon in Baltic Sea,living_habit,1,B,categorical,observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface,NA
262,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,,,NA,NA,NA,living_habit,1,B,categorical,NA,NA
276,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,,,United States,California,San Francisco Bay,living_habit,1,B,categorical,NA,Use extended foot to move and burrow
199,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,,,Japan,NA,Seto Inland Sea,living_habit,1,S,categorical,lives around surface of sediment,"could probably also be categorized as ""burrowing"""
244,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,MacNeil et al 1997,,,NA,NA,NA,living_habit,1,S,categorical,"Gammarus spp. are often found in great abundance in o runde any substratum that provides both shelter from predators and a supply of organic detritus and other foodstuffs,that is,under rocks,in gravel or coarse substrates and amongst living and dead vegetation.",NA
154,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,,,Germany,NA,NA,living_habit,1,T,categorical,lives in tube it makes,NA
169,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,,,United States,CA and OR,multiple rivers and creeks,living_habit,1,T,categorical,lives in tube it makes,NA
178,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,,,United States,CA,San Francisco Bay,living_habit,1,T,categorical,lives in mucus tubes,NA
214,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Jones et al. 2009,,,United States,California,"Suisun Slough, North San Francisco Bay",living_habit,1,T,categorical,NA,NA
224,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,NA,living_habit,1,T,categorical,"inhabit small U-shaped tubes in soft sediments, hard surfaces, sandy beaches, gravel, clay",family level trait of Corophiidae
233,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium stimpsoni,species,synonym,Kelley 1966,,,NA,NA,NA,living_habit,1,T,categorical,NA,found in higher numbers with sand substrate and low net water velocity.
112,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,,,Czech Republic,NA,Rokytna River,reproduction,1,A,categorical,architomy; sexual reproduction is very rare,NA
125,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,,,England,NA,"multiple rivers, lakes, ponds, streams, canals",reproduction,1,A,categorical,"cross fertilization is the general rule, but uniparental reproduction is known to occur and self-fertilization is possible (Gavrilov 1951). Asexual reproduction thought not to occur; autotomy and fragmentation do not produce one than one individual",NA
142,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Kennedy 1966,,,NA,NA,NA,reproduction,1,A,categorical,"cross fertilization is the general rule, but uniparental reproduction is known to occur and self-fertilization is possible (Gavrilov 1951). Asexual reproduction thought not to occur in L. hoffmeisteri.",NA
179,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh 1997,,,Taiwan,NA,"Tanshui River estuarine system, located northwest of Taipei City",reproduction,1,A,categorical,simultaneous hermaphrodite that can outcross or self-fertilize,Little is known about reproduction in this genus aside from this one species so unclear how common self-fertilization is across species
263,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Kennedy and Van Huekelem 1985,,,United States,Maryland,Potamac River,reproduction,1,A,categorical,"simultaneous hermaphrodites, and self fertilization is common. females brood embryos until released as larvae.",NA
155,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Rullier 1960,,,France,NA,canal in Caen,reproduction,1,S,categorical,sexes are separate; no mention of methods other than sexual reproduction,Didn't have access to article; got data from NEMESIS
170,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,,,United States,CA and OR,multiple rivers and creeks,reproduction,1,S,categorical,sexes are separate,"Croskery 1978 claims without citation that asexual reproduction happens but also says that species is hermaphrodite, which it isn't"
190,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,,,Germany,NA,brackish lagoon in Baltic Sea,reproduction,1,S,categorical,sexes are separate in all known ostracods; no reference to non-sexual reproduction,"Cohen and Morin 1990 note that a few ostracodes are parthenogenetic, including two species in superfamily that includes this genus"
