organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,NA,brackish lagoon in Baltic Sea,living_habit,1,B,categorical,observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface,NA
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,NA,brackish lagoon in Baltic Sea,reproduction,1,S,categorical,sexes are separate in all known ostracods; no reference to non-sexual reproduction,"Cohen and Morin 1990 note that a few ostracodes are parthenogenetic, including two species in superfamily that includes this genus"
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Spain,NA,Spanish Mediterranean coast,salinity_tolerance,1,63,ppt,field observation; see Fig. 9; actually relevant data from Marco Barba 2010 (PhD thesis); much higher than ocean water,NA
4090,Cyprideis sp. A,genus,Cyprideis spp.,genus,congener,Prayudi et al 2024,Bahrain,NA,Murray's Pool in western Arabian Gulf,thermal_tolerance,1,39.4,C,measured in lab. specimens became comatose; LD50 was 51.8C,NA
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Heip 1976,Belgium,NA,brackish pond,voltinism,1,U,categorical,field observations,NA
4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,Henry and McLauglin 1975,NA,NA,NA,body_length_max,1,17,mm,Maximum adult width,NA
4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,Hindenberg et al 2022,Germany,NA,Baltic Sea,feeding_position,1,F,categorical,"gather phtyo, zoop, detritus",NA
4150,Amphibalanus improvisus,species,Balanus improvisus,species,synonym,Lang and Marcy 1982,United States,Rhode Island,Pettaquamscutt River,larva,1,P,categorical,planktotrophic larvae; settles after 4-18 d,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,armoring,1,P,categorical,NA,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Gamo 1967,Japan,lbaraki Prefecture,"Lake Hinuma, a brackish water lake connected to the open sea through the River Hinuma",body_length_max,1,5.5,mm,Female paratype.  The male holotype is 3.7 mm,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,feeding_position,1,Sb,categorical,live buried in sand and mud,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,larva,1,N,categorical,offspring are raised in marsupium; manca larvae are nearly full grown and developed,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,living_habit,1,S,categorical,lives around surface of sediment,"could probably also be categorized as ""burrowing"""
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,reproduction,1,S,categorical,sexes are separate; no mention of methods other than sexual reproduction,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Lee et al. 2003,United States,CA,San Francisco Bay,salinity_tolerance,1,27.5,ppt,field observation,didn't have access to book chapter
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,thermal_tolerance,1,28,C,"in the field, most populations diapause in summer (~28C)",NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,NA,Seto Inland Sea,voltinism,1,U,categorical,field observations,NA
4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,Gardiner 1975,NA,NA,NA,body_length_max,1,3.6,mm,"male, female is 3.0 mm",NA
4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,Heiman et al. 2008,United States,California,Elkhorn Slough,feeding_position,1,Sf,categorical,can be epifaunal in fouling communities or in sand or mud,NA
4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,Toniollo and Masunari 2007,Brazil,Parana,Paranagua Bay Complex,larva,1,N,categorical,young are brooded in brood pouches,NA
4310,Synidotea laticauda,species,Synidotea laticauda,species,target,Cuesta et al. 1996,Spain,NA,NA,body_length_max,1,25.3,mm,"probably male (Japan); female, 16 mm (Netherlands, Faasse 2011)",NA
4310,Synidotea laticauda,species,Synidotea laticauda,species,target,Menzies and Miller 1972,United States,California,San Francisco Estuary,feeding_position,1,Po,categorical,"Polychaetes, bryozoans, isopods, algae, carrion",NA
4310,Synidotea laticauda,species,Synidotea laticauda,species,target,Menzies and Miller 1972,United States,California,San Francisco Estuary,larva,1,N,categorical,"young are brooded by the female, and development is direct ",NA
4350,Gnorimosphaeroma insulare,species,Gnorimosphaeroma insulare,species,target,Wetzer et al 2021,United States,CA,San Nicolas Island,body_length_max,1,8,mm,NA, relationship between total length (L) and dry weight (W) was described by the equation log W = 2.85 (log L) - 1.57 (Stanhope et al 1987)
4350,Gnorimosphaeroma insulare,species,Gnorimosphaeroma insulare,species,target,Stanhope et al 1987,Canada,British Columbia,Squamish Estuary,feeding_position,1,Po,categorical,"Algae, aquatic macrophytes, and fungi",NA
4350,Gnorimosphaeroma insulare,species,Gnorimosphaeroma insulare,species,target,Stanhope et al 1987,Canada,British Columbia,Squamish Estuary,larva,1,N,categorical,brood pouch,NA
4370,Gnorimosphaeroma oregonense,species,Gnorimosphaeroma oregonense,species,target,Wetzer et al 2021,Canada,British Columbia,"Vancouver, Stanley Park",body_length_max,1,8.5,mm,male,NA
4370,Gnorimosphaeroma oregonense,species,Gnorimosphaeroma oregonense,species,target,Zimmer et al 2001,Canada,British Columbia,Vancouver Island,feeding_position,1,Po,categorical,feeding ecology poorly known but probably similar to congeners,NA
4370,Gnorimosphaeroma oregonense,species,Gnorimosphaeroma oregonense,species,target,Brook et al 1994,Canada,British Columbia,"Grappler Inlet, Bamfield",larva,1,N,categorical,NA,NA
4410,Uromunna sp. A,genus,Uromunna reynoldsi,species,congener,Schultz 1969,NA,NA,NA,body_length_max,1,1.5,mm,NA,NA
4410,Uromunna sp. A,genus,Uromunna reynoldsi,species,congener,Callahan 1977,United States,Texas,Gulf of Mexico,feeding_position,1,Sf,categorical,"likley foods are detritus, microalgae, bacteria",NA
4410,Uromunna sp. A,genus,Uromunna reynoldsi,species,congener,Schultz 1979,Panama,NA,Panama Canal,larva,1,N,categorical,Fertilization is internal and eggs are brooded by the female,NA
4510,Ampelisca abdita,species,Ampelisca abdita,species,target,Mills 1964,United States,Multiple,Eastern North America,body_length_max,1,8.2,mm,NA,NA
4510,Ampelisca abdita,species,Ampelisca abdita,species,target,Nichols and Thompson 1985,United States,California,San Francisco Estuary,feeding_position,1,FSf,categorical,has two generations per year in South Bay,NA
4510,Ampelisca abdita,species,Ampelisca abdita,species,target,Nichols and Thompson 1985,United States,California,San Francisco Estuary,larva,1,N,categorical,"separate sexes, brooded embryos, and direct development",NA
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Cohen and Carlton 1995,NA,NA,NA,armoring,1,P,categorical,NA,NA
4550,Sinocorophium alienense,species,Sinocorophium alienense,species,target,Chapman 1988,United States,CA,San Francisco Estuary,body_length_max,1,6.4,mm,female,NA
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Jones et al. 2009,NA,NA,NA,feeding_position,1,FSf,categorical,"suspension feeder, and surface deposit feeder. Significant grazer in san francisco bay",NA
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Chapman 1988,United States,California,San Francisco Bay,larva,1,N,categorical,no planktonic larvae mentioned,Nocturnal vertical migration of adults from the benthos into the water column is common among species of Corophium. Species of Corophium are also noted for dispersal over many kilometers in a single night. (this species might be passive? only info is that dispersed into SF bay with vertical migration and tidal movement)
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Jones et al. 2009,United States,California,"Suisun Slough, North San Francisco Bay",living_habit,1,T,categorical,NA,NA
4550,Sinocorophium alienense,species,Sinocorophium homoceratum,species,congener,Ko et al 2016,Korea,NA,Gomso Bay,reproduction,1,S,categorical,"sexes are separate, no indication of self fertilization",NA
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Lee et al 2003,United States,California,San Francisco Bay,salinity_tolerance,1,27.5,ppt,field observation,NA
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Chapman 2007,NA,NA,NA,thermal_tolerance,1,30,C,collected in marsh pools at this temperature,NA
4550,Sinocorophium alienense,species,Corophium insidiosum,species,confamiliar,Kevrekidis 2004,Greece,Evros Delta,Monolimni lagoon,voltinism,1,M,categorical,"based on field observations. 2-6.5 generations with variable lifespan, depending on latitude and temperature","Leela's consensus, later split up into different lines of data: semi annual/2 generations per year. Based on multiple papers of different species, C. orientale, C. multisetosum, C. volutator, C. arenarium."
4550,Sinocorophium alienense,species,Corophium multisetosum,species,confamiliar,"Cunha et al 2000, Cunha et al 2000",Portugal,NA,Ria de Aveiro,voltinism,2,M,categorical,"based on field observations. semiannual, iteroparous life history. brooding females collected monthly over one year of the study. Second paper found latitudinal variations in fecundity, but still 2+ generations per year and practically continuous breeding due to maturation time and reproductive age",NA
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,United States,NA,NA,armoring,1,P,categorical,NA,NA
4610,Americorophium spinicorne,species,Americorophium spinicorne,species,target,Burdi et al. 2021,United States,CA,San Francisco Estuary,body_length_max,1,7.5,mm,NA,samples from guts of field collected fish
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Miller 1984,United States,WA,"San Juan Island, False Bay",feeding_position,1,FSf,categorical,"A detritovore, ingesting particulate organic matter from sediment surface. can also suspension feed by filtering with second gnathopod.","(Sakamaki and Richardson 2009) A. spinicorne sorts material with filtering gnathopods.  Abdominal appendages create a water current that is filtered by the fine hairs on the gnathopods, and the filtrate is then scraped off and ingested (Miller 1984; Kozloff 1993)"
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,United States,NA,NA,larva,1,N,categorical,no planktonic larvae,"young development stage resembles adults, brood stay on female for 4 weeks and the adults are tube dwellers"
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,United States,NA,NA,living_habit,1,T,categorical,"inhabit small U-shaped tubes in soft sediments, hard surfaces, sandy beaches, gravel, clay",family level trait of Corophiidae
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,United States,NA,NA,reproduction,1,S,categorical,"less sexually dimorphic than other corophium species, but still implies that reproduction is direct and requires 2 individuals.",NA
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,United States,NA,NA,salinity_tolerance,1,33.6,ppt,"strongly euryhaline, often found in freshwater habitats (Erikson 1968)",NA
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Eriksen 1968,United States,California,Oso Flaco Lake,thermal_tolerance,1,22.8,C,highest measured temperature of study site where this species is present. (Erikson 1968),NA
4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,United States,NA,San Francisco Bay,voltinism,1,M,categorical,<4 broods per year,"young remain in brood pouch for four weeks, and females produce up to four broods per year (Green 1968)."
4630,Americorophium stimpsoni,species,Corophium sp.,genus,confamiliar,Crawford 1937,NA,NA,NA,armoring,1,P,categorical,NA,NA
4630,Americorophium stimpsoni,species,Americorophium stimpsoni,species,target,Burdi et al. 2021,United States,CA,San Francisco Estuary,body_length_max,1,7.8,mm,NA,samples from guts of field collected fish
4630,Americorophium stimpsoni,species,Corophium spinicorne,genus,congener,Miller 1984,United States,WA,"San Juan Island, False Bay",feeding_position,1,FSf,categorical,"the three species described will desposit and suspension feed. C. spinicorne, C. salmonis, C. insidiosum.",NA
4630,Americorophium stimpsoni,species,Corophium volutator,species,confamiliar,Stevens et al 2006,New Zealand,NA,Waimapu Estuary,larva,1,N,categorical,assuming most amphipods have no larval stage. All sited papers were of this species.,NA
4630,Americorophium stimpsoni,species,Corophium stimpsoni,species,synonym,Kelley 1966,NA,NA,NA,living_habit,1,T,categorical,NA,found in higher numbers with sand substrate and low net water velocity.
4630,Americorophium stimpsoni,species,Corophium spinicorne,species,congener,Hiebert et al 2016,United States,NA,NA,reproduction,1,S,categorical,presumed that members of the same genus are similar in reproduction,NA
4630,Americorophium stimpsoni,species,Corophium spinicorne,species,congener,Hiebert et al 2016,United States,NA,NA,salinity_tolerance,1,33.6,ppt,NA,NA
4630,Americorophium stimpsoni,species,Corophium stimpsoni,species,synonym,McCarthy 1972,United States,Oregon,Siltcoos River,thermal_tolerance,1,20,C,"range of temperatures observed at field sampling site, See Table 2",NA
4630,Americorophium stimpsoni,species,Corophium multisetosum,species,confamiliar,"Cunha et al 2000, Cunha et al 2000",Portugal,NA,Ria de Aveiro,voltinism,2,M,categorical,"based on field observations. semiannual, iteroparous life history. brooding females collected monthly over one year of the study. Second paper found latitudinal variations in fecundity, but still 2+ generations per year and practically continuous breeding due to maturation time and reproductive age",NA
4670,Grandidierella japonica,species,Grandidierella japonica,species,target,Chapman and Dorman 1975,NA,NA,NA,body_length_max,1,22,mm,"male, female is 13 mm",NA
4670,Grandidierella japonica,species,Grandidierella japonica,species,target,Best et al. 2013,United States,California,Bodega Bay,feeding_position,1,F,categorical,"feeds on detritus, benthic diatoms, and suspended particles ",NA
4670,Grandidierella japonica,species,Grandidierella japonica,species,target,Greenstein and Tiefenthaler 1997,United States,California,Newport Bay,larva,1,N,categorical,"separate sexes, brooded embryos, and direct development",NA
4740,Crangonyx floridanus,species,Crangonyx floridanus,species,target,Holsinger 1972,United States,Florida,multiple,body_length_max,1,10,mm,female max length; male max length 8 mm,NA
4740,Crangonyx floridanus,species,Crangonyx floridanus,species,target,Tojo et al 2010,Japan,NA,NA,feeding_position,1,Po,categorical,"probably omnivorous, like many free-living gammarids, feeding on algae, detritus, and occasionally on invertebrates and carrion",NA
4740,Crangonyx floridanus,species,Crangonyx floridanus,species,target,Tojo et al 2010,Japan,NA,NA,larva,1,N,categorical,"young are brooded, and development is direct ",NA
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,NA,NA,NA,armoring,1,P,categorical,NA,NA
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Bousfield 1969,United States,Multiple,Estuaries in Middle Atlantic Region,body_length_max,1,12.5,mm,male.  Females are 6-8 mm,NA
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Barnes 1983,NA,NA,NA,feeding_position,1,Po,categorical," feeding on algae, aquatic plants, and occasional invertebrates",NA
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Ginn et al 1976,Unites States,New York,Indian Point,larva,1,N,categorical,"females contain eggs and/or young in marsupium and release as young. Study done with G. daiberi and G.tigrinus, but they indicate samples were most likely mostly G. daiberi.",NA
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,MacNeil et al 1997,NA,NA,NA,living_habit,1,S,categorical,"Gammarus spp. are often found in great abundance in o runde any substratum that provides both shelter from predators and a supply of organic detritus and other foodstuffs,that is,under rocks,in gravel or coarse substrates and amongst living and dead vegetation.",NA
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,NA,NA,NA,reproduction,1,S,categorical,sexually dimorphic with courting patterns and sexual reproduction among various Gammarus species studied.,NA
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Bousfield 1973,NA,NA,NA,salinity_tolerance,1,15,ppt,field observation,collected at this salinity
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Nauman and Cory 1969,United States,Maryland,Chalk Point,thermal_tolerance,1,32,C,average temperature in thermal effluent in June when G daiberi were present,NA
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,NA,NA,NA,voltinism,1,M,categorical,"eggs develop between 17-35 days at 10C dependig on egg size, and enter diapause sometime between mid summer and early winter. Become ovigerous depending on daylight hours.",NA
4810,Hyalella sp. A,genus,Hyalella sp.,genus,target,Burdi et al. 2021,United States,CA,San Francisco Estuary,body_length_max,1,10,mm,NA,samples from guts of field collected fish
4810,Hyalella sp. A,genus,Hyalella azteca,species,congener,Strong 1972,United States,Oregon,multiple,feeding_position,1,Po,categorical,"eat fungus, bacteria, rotting plant and animal matter",NA
4810,Hyalella sp. A,genus,Hyalella azteca,species,congener,Strong 1972,United States,Oregon,multiple,larva,1,N,categorical,offspring are raised in marsupium,NA
4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,Williams 1984,NA,NA,NA,body_length_max,1,21.3,mm,male max width.  Female is 16 mm,NA
4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,Aarnio et al. 2015,NA,NA,Baltic Sea,feeding_position,1,Po,categorical,"omnivorous eating detritus, plants, animals",see Table 5 for trait info
4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,Rice and Tsukimura 2007,NA,NA,NA,larva,1,P,categorical,eggs are brooded but planktotrophic zoeae (1 mm long) drift in plankton and doubles in length; settle after 15-32 d,NA
5130,Stylurus olivaceus,species,Stylurus spiniceps,species,congener,Dragonflies of North America,NA,NA,NA,body_length_max,1,60,mm,measured length from USGS Benthic Invert Trait Database; not necessarily maximum,"Of the four Stylurus species with naiad body length in USGS database, S. spiniceps was closest to S. olivacea in adult body length, with S. spiniceps a couple mm longer (and presumably naiad body length)"
5130,Stylurus olivaceus,species,Stylurus olivaceus,species,target,Cannings 2003,Canada,British Columbia,NA,feeding_position,1,Pc,categorical,"consume bottom-dwelling invertebrates
such as chironomids, tubificid worms and burrowing
mayflies",NA
5130,Stylurus olivaceus,species,Stylurus olivaceus,species,target,Cannings 2003,Canada,British Columbia,NA,larva,1,N,categorical,NA,NA
5410,Procladius sp. A,genus,Procladius denticulatus,species,congener,Bath and Anderson 1969,United States,CA,Southern CA,body_length_max,1,12,mm,NA,NA
5410,Procladius sp. A,genus,Procladius,genus,congener,Roback 1980,Eastern United States,NA,NA,feeding_position,1,Pc,categorical," voracious predators,
feeding primarily on Cladocera, Ostracoda, Hydracarina, Copepoda and other Chironomida",NA
5410,Procladius sp. A,genus,Procladius bellus,species,congener,Sephton 2012,Canada,Ontario,"Laurel Creek Reservoir, Waterloo",larva,1,N,categorical,NA,NA
5550,Cryptochironomus sp. A,genus,Cryptochironomus,genus,congener,Curry 1958,United States,Michigan,NA,body_length_max,1,15,mm,NA,NA
5550,Cryptochironomus sp. A,genus,Cryptochironomus ,genus,congener,Curry 1958,United States,Michigan,multiple,feeding_position,1,Pc,categorical,generally considered carnivorous feeding on other benthic inverts using formidable mandibles,NA
5550,Cryptochironomus sp. A,genus,Cryptochironomus ,genus,congener,Curry 1958,United States,Michigan,multiple,larva,1,N,categorical,NA,NA
6530,Gyraulus circumstriatus,species,Gyraulus parvus,species,congener,Brown 1998,United States,Wisconsin,"Carrol Lake, Vilas County",body_length_max,1,5,mm,NA,see Table 1 for measurement
6530,Gyraulus circumstriatus,species,Gyraulus circumstriatus,species,target,Hann et al 2001,Canada,Manitoba,Delta Marsh,feeding_position,1,Sf,categorical,NA,NA
6530,Gyraulus circumstriatus,species,Gyraulus convexiusculus,species,congener,Parashar and Rao 1988,India,NA,NA,larva,1,N,categorical,NA,NA
6565,Helisoma anceps,species,Helisoma anceps,species,target,Hung et al 2018,United States,California,San Francisco Estuary,body_length_max,1,12,mm,NA,Boerger 1975 cited in this paper has length-weight relationships for this species
6565,Helisoma anceps,species,Helisoma anceps,species,target,Hung et al 2018,United States,California,San Francisco Estuary,feeding_position,1,Sf,categorical,scraper/grazer of algae,NA
6565,Helisoma anceps,species,Helisoma anceps,species,target,Hung et al 2018,United States,California,San Francisco Estuary,larva,1,N,categorical,NA,NA
6570,Physa sp. A,genus,Physa sp.,genus,congener,Arendt 2015,US,CA,Riverside,body_length_max,1,6.9,mm,NA,NA
6570,Physa sp. A,genus,Physa sp.,genus,congener,Arendt 2015,US,CA,Riverside,feeding_position,1,Sf,categorical,probably an algae scraper,NA
6570,Physa sp. A,genus,Physa sp.,genus,congener,Arendt 2015,US,CA,Riverside,larva,1,N,categorical,NA,NA
6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Thompson 1989,NA,NA,NA,body_length_max,1,36,mm,NA,NA
6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Miranda et al. 2012,South Africa,KwaZulu-Natal,multiple,feeding_position,1,Sf,categorical,"grazes on microalgae and detritus, but does not feed on the leaves of larger plants",NA
6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Keller et al. 2007,NA,NA,NA,larva,1,N,categorical,eggs in female's brood pouch and hatch into small snails (1.0-4.5 mm long),NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,NA,NA,NA,armoring,1,G,categorical,NA,NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,McMahon 1983,NA,NA,NA,body_length_max,1,60,mm,NA,NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Cohen et al 1984,United States,Maryland,Potamac River,feeding_position,1,F,categorical,capable of deposit feeding though probably mostly filter feeding,NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Ramli et al 2022,Malaysia,Kelantan,Pergau Lake,larva,1,P,categorical,"Embryos are brooded in the adult's gills, and are released at varying stages of development, sometimes as D-shaped non-swimming planktotrophic veligers, and sometimes as crawling postlarvae",NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,NA,NA,NA,living_habit,1,B,categorical,NA,NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Kennedy and Van Huekelem 1985,United States,Maryland,Potamac River,reproduction,1,A,categorical,"simultaneous hermaphrodites, and self fertilization is common. females brood embryos until released as larvae.",NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Morton and Tong 1985,NA,NA,NA,salinity_tolerance,1,13,ppt,"at 13ppt and less, osmoregulates and maintains constant tissue chloride levels for 7 days. Above 13ppt, osmoconforms and mortality progressively increases with salinity and time.",NA
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Karatayev et al 2006,NA,NA,NA,thermal_tolerance,1,37,C,NA,"see Table 1 for salinity, pH, and temp tolerance summary; selected as best value because it is the highest one"
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Falfushynska et al 2016,United States,North Carolina,Catawba River,thermal_tolerance,2,34.9,C,measured in lab. temperature causing 50% mortality,populations from two natural sites; excluded cooling water discharge site
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Falfushynska et al 2016,United States,North Carolina,Lake Norman,thermal_tolerance,3,29.8,C,measured in lab. temperature causing 50% mortality,populations from two natural sites; excluded cooling water discharge site
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,NA,NA,NA,voltinism,1,M,categorical,"majority of studies conclude 2 a year (spring/late summer), but could be 1-3 depending on temp, food availability, and location.",NA
6750,Euglesa casertana,species,Pisidium spp.,genus,congener_synonym,Pennak 1989,NA,NA,NA,body_length_max,1,4,mm,NA,NA
6750,Euglesa casertana,species,Euglesa casertana,species,target,Mouthon and Forcellini 2017,NA,NA,NA,feeding_position,1,F,categorical,interstitial suspension feeders,NA
6750,Euglesa casertana,species,Euglesa casertana,species,target,Mouthon and Forcellini 2017,NA,NA,NA,larva,1,N,categorical,all species in family release from brood sac as fully formed miniature adults,NA
6770,Euglesa compressa,species,Pisidium spp.,genus,congener_synonym,Pennak 1989,NA,NA,NA,body_length_max,1,4,mm,NA,NA
6770,Euglesa compressa,species,Euglesa compressa,species,target,Mouthon and Forcellini 2017,NA,NA,NA,feeding_position,1,F,categorical,interstitial suspension feeders,NA
6770,Euglesa compressa,species,Euglesa compressa,species,target,Mouthon and Forcellini 2017,NA,NA,NA,larva,1,N,categorical,all species in family release from brood sac as fully formed miniature adults,NA
6810,Macoma petalum,species,Macoma petalum,species,target,Gosner 1978,NA,NA,NA,body_length_max,1,38,mm,NA,NA
6810,Macoma petalum,species,Macoma balthica,species,congener,Thompson and Nichols 1988,United States,California,San Francisco Estuary,feeding_position,1,FSf,categorical,"deposit-feeding in sediment, mostly on benthic microalgae, and suspension-feeding in the water column","Although the citation names it M. balthica, it is probably the target species M. petalum"
6810,Macoma petalum,species,Macoma balthica,species,congener,Bos et al. 2007,The Netherlands,NA,Mok Bay,larva,1,P,categorical,"planktotrophic, likley feeding on phytoplankton, and settle in 16-19.5 d at 15C",NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,United States,California,San Francisco Bay,armoring,1,G,categorical,NA,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,NA,NA,Asia,body_length_max,1,27.5,mm,NA,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nichols et al. 1990,United States,California,San Francisco Bay,feeding_position,1,F,categorical,NA,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,larva,1,P,categorical,planktonic larvae for about 17 d; from day 7 to day 17 veligers actively filtered phytoplankton,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,living_habit,1,B,categorical,Use extended foot to move and burrow,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,reproduction,1,S,categorical,broadcast spawners,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al 1990,United States,California,San Francisco Bay,salinity_tolerance,1,32.6,ppt,highest observed at field station from June 1987-November 1988.,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,United States,California,San Francisco Bay,thermal_tolerance,1,23,C,highest observed in the field,selected as best trait value because from SFE (though other value is higher)
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,United States,Asia,NA,thermal_tolerance,2,28,C,highest observed in the field,NA
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,voltinism,1,M,categorical,laboratory study. But field studies suggest Reproduction occurs year round in SF Bay,regional variations based on water flow and food availability
